Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Trinity,No,Asian,Cis Man,Bisexual,No,No,No,MD,20777,,,Suburban,"$125,000-$250,000",Yes,Economics,Athletics,Extremely interested,Extremely interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,No opinion,No opinion,No opinion,2,No,,Somewhat agree,Orientation Week,A lot,Very likely,Very likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,No,No,4,SAT,1580,,Public (non-charter),No,15,7,No,Yes,No,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs",No,,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,TX,75013,,,Suburban,"$80,000-$125,000",No,Biology,Student life / campus culture,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,1,Yes,1,Somewhat agree,Clubs/Extracurriculars,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Moderately unlikely,Very likely,Yes,No,No,3.97,ACT,,36,Public (non-charter),No,7,4,No,Yes,No,No,Other,Very religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,NY,11566,,,Suburban,"$250,000-$500,000",Yes,Statistical Science,Student life / campus culture,Very interested,Slightly interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,1,No,,Strongly disagree,Dorm,A great deal,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Neither likely or unlikely,Very likely,Moderately unlikely,Neither likely or unlikely,Very unlikely,Yes,No,No,4,SAT,1570,,Public (non-charter),No,10,3,Yes,No,Yes,No,Jewish,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Online
Trinity,No,Asian,Other,Heterosexual,No,Yes,No,Az,85253,,,Urban,"Above $500,000",Yes,Economics,Athletics,Very interested,Not interested at all,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,Yes,Strongly unfavorable,No opinion,Strongly favorable,1,No,,Strongly agree,Orientation Week,None at all,,,Very unlikely,Very unlikely,Very unlikely,Very unlikely,,,Very unlikely,No,No,No,4,SAT,,,Public (charter),No,2,2,No,No,Yes,No,Hindu,Not very religious,Moderate,Yes,Joe Biden,Home (Durham),Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Print
Trinity,Yes,White,Cis Woman,Heterosexual,No,No,No,FL,32825,,,Suburban,"Below $40,000",Yes,Psychology,Financial aid award / scholarship,Extremely interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Strongly unfavorable,Somewhat favorable,1,Yes,1,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,SAT,1490,,Public (non-charter),No,12,7,No,No,No,No,Atheist,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),No,,Yes,No,Online
Pratt,No,Asian,Cis Woman,Asexual,No,No,No,VA,24060,,,Rural,"$80,000-$125,000",Yes,Mechanical Engineering,Student life / campus culture,Slightly interested,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,Yes,Somewhat favorable,No,No,No opinion,No opinion,Strongly favorable,2,Yes,2,Somewhat disagree,Classes,A great deal,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,SAT,1570,,Public (non-charter),No,20,11,No,No,No,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Durham),Yes,,Yes,Yes,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,Yes,,,Shanghai,China,Urban,"$250,000-$500,000",No,Political Science,"Duke’s ""brand name""",Slightly interested,Very interested,Neither more or less likely,Wanting to belong in a social group,At Home,Difficulty travelling,Yes - to campus,,No,,,,Don’t know,Don’t know,Somewhat favorable,,No,,Somewhat agree,Dorm,A moderate amount,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.93,ACT,,36,Private (parochial),Yes,13,7,No,No,No,Yes,Agnostic,Not very religious,Somewhat liberal,Ineligible to vote,,,Ineligible to vote,"Drank alcohol,Had sex,Obtained a fake ID",No,,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,IA,50613,,,Rural,"$80,000-$125,000",Yes,Computer Science,Financial aid award / scholarship,Moderately interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,1,Yes,1,Strongly agree,Dorm,A moderate amount,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Very unlikely,Yes,No,No,3.9,"SAT,ACT",1560,36,Public (charter),No,3,3,Yes,No,Yes,No,Catholic,Religious,Very liberal,Yes,Joe Biden,Home (Not Durham),No,"Drank alcohol,Used drugs",No,,Online
Trinity,No,Asian,Gender queer/Nonbinary,Questioning,No,No,No,NJ,08812,,,Suburban,"Above $500,000",No,Psychology,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Strongly unfavorable,Strongly favorable,3,No,,Strongly agree,Dorm,A lot,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Moderately unlikely,Very unlikely,Very unlikely,Yes,Yes — furloughed,No,3.8,SAT,1590,,Public (non-charter),Yes,2,2,Yes,No,Yes,No,Agnostic,Not at all religious,Very liberal,Ineligible to vote,,,Ineligible to vote,"Drank alcohol,Used drugs",No,,Online
Pratt,No,White,Cis Man,Gay/Homosexual/Lesbian,No,No,No,TN,,,,Suburban,"$80,000-$125,000",Yes,Electrical and Computer Engineering,Student life / campus culture,Very interested,Very interested,More likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Somewhat favorable,1,No,,Strongly agree,Dorm,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Yes,No,No,4,ACT,,36,Private (parochial),No,5,2,Yes,No,Yes,No,Jewish,Somewhat religious,Moderate,Yes,Joe Biden,Durham,Yes,Drank alcohol,No,,Neither
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,KS,66216,,,Suburban,"Above $500,000",No,Economics,Student life / campus culture,Moderately interested,Not interested at all,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Strongly favorable,1,No,,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,Yes — furloughed,No,4,ACT,,35,Public (non-charter),No,12,7,Yes,No,Yes,No,Other,Not at all religious,Somewhat conservative,Yes,Donald Trump,Home (Durham),Yes,Drank alcohol,No,,Print
Trinity,No,Asian,Cis Woman,Prefer not to say,No,No,No,CO,80228,,,Suburban,"$80,000-$125,000",No,Economics,Pre-professional opportunities and alumni network,Not interested at all,Very interested,Less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat favorable,Strongly favorable,3,Yes,2,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Very likely,Very likely,,,,,Moderately likely,No,No,No,4,SAT,1590,,Public (non-charter),No,3,3,Yes,No,Yes,No,Agnostic,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs",No,,Print
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NC,27519,,,Suburban,"$80,000-$125,000",Yes,Neuroscience,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Much less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,No,,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,4,"SAT,ACT",1550,35,Public (charter),No,9,4,No,No,No,No,Hindu,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,No,White,Cis Woman,Bisexual,No,No,No,MD,20815,,,Suburban,"$125,000-$250,000",Yes,Psychology,Academics and interdisciplinary curriculum,Not interested at all,Very interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,No opinion,Somewhat unfavorable,Strongly favorable,2,Yes,2,Strongly agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,3.97,ACT,,33,Public (non-charter),No,3,1,Yes,No,Yes,Yes,Jewish,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs",No,,Neither
Trinity,No,White,Cis Woman,Asexual,No,No,No,NC,27012,,,Rural,"$80,000-$125,000",No,Mathematics,Financial aid award / scholarship,Not interested at all,Moderately interested,More likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly unfavorable,Strongly favorable,1,No,,Somewhat agree,Clubs/Extracurriculars,A little,Very likely,Very likely,Moderately Likely,Moderately unlikely,Moderately Likely,Very likely,Moderately unlikely,Very unlikely,Moderately unlikely,Yes,No,No,4,"SAT,ACT",1570,34,Public (non-charter),No,3,2,Yes,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,Drank alcohol,Yes,Yes,Online
Trinity,,,,Heterosexual,,No,No,ny,11746,,,Suburban,"$80,000-$125,000",Yes,Public Policy Studies,Pre-professional opportunities and alumni network,Very interested,Moderately interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Strongly favorable,2,No,,Somewhat agree,Dorm,A lot,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,Yes — lost their job,No,4,ACT,,35,Public (charter),No,4,3,Yes,No,Yes,No,Catholic,Religious,Somewhat liberal,Yes,Joe Biden,Durham,No,,Yes,No,Online
Trinity,No,White,Cis Woman,Heterosexual,No,Yes,No,MO,63146,,,Suburban,"$80,000-$125,000",No,Biology,Athletics,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,0,No,,Strongly agree,Dorm,A lot,Very likely,Very likely,Moderately unlikely,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Moderately Likely,Moderately unlikely,Yes,No,No,4,"SAT,ACT",1560,35,Private (parochial),No,1,1,Yes,No,Yes,No,Catholic,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,Drank alcohol,No,,Neither
Trinity,Yes,White,Gender queer/Nonbinary,Pansexual,Yes,No,No,AZ,86406,,,Rural,"$40,000-$80,000",Yes,Environmental Sciences and Policy,Financial aid award / scholarship,Not interested at all,Moderately interested,More likely,Preprofessional opportunities / alumni network,On campus,,,Going back home,No,,No,No,Somewhat unfavorable,Strongly unfavorable,Somewhat unfavorable,2,No,,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Very unlikely,Yes,No,Yes,4,ACT,,34,Public (non-charter),No,9,7,No,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex",Yes,No,Print and Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,VA,20148,,,Suburban,"$250,000-$500,000",No,Computer Science,Student life / campus culture,Moderately interested,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Somewhat unfavorable,Strongly favorable,0,No,,Somewhat agree,Dorm,A lot,Moderately Likely,Very likely,Neither likely or unlikely,Moderately Likely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately Likely,Very unlikely,Yes,No,No,3.8,ACT,,35,Public (charter),Yes,5,3,Yes,No,Yes,Yes,Protestant,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",No,,Neither
Pratt,No,Asian,Cis Man,Heterosexual,No,No,No,PA,19422,,,Suburban,"$125,000-$250,000",No,Biomedical Engineering,Student life / campus culture,Very interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,2,No,,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Very unlikely,Yes,No,No,3.8,SAT,1530,,Private (non-denominational),No,9,2,Yes,No,Yes,No,Hindu,Not very religious,Moderate,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs",No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NC,28207,,,Suburban,"Above $500,000",No,Economics,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Much less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,2,No,,Somewhat disagree,Dorm,A lot,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,,SAT,1540,,Private (non-denominational),No,12,7,Yes,No,Yes,Yes,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Had sex",No,,Print and Online
Trinity,Yes,"White,Other",Cis Woman,Heterosexual,Yes,No,No,Texas,78223,,,Suburban,"$40,000-$80,000",Yes,Public Policy Studies,Student life / campus culture,Not interested at all,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Going back home,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,Yes,1,Neither agree nor disagree,Classes,A great deal,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,ACT,,28,Public (charter),No,4,4,Yes,No,Yes,No,Catholic,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,Drank alcohol,No,,Neither
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,VA,23113,,,Suburban,"$125,000-$250,000",Yes,Computer Science,Student life / campus culture,Moderately interested,Very interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,Yes,Somewhat favorable,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,Yes,2,Strongly agree,Dorm,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Yes,Yes — furloughed,No,3.85,SAT,1560,,Private (non-denominational),No,2,1,Yes,No,Yes,Yes,Hindu,Not very religious,Moderate,Yes,,Durham,Yes,,No,,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,NJ,07920,,,Suburban,"$250,000-$500,000",No,Political Science,Academics and interdisciplinary curriculum,Moderately interested,Very interested,More likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,4,Yes,2,Somewhat disagree,Classes,A great deal,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately Likely,Very unlikely,Moderately unlikely,Very unlikely,Neither likely nor unlikely,Yes,No,No,3.93,SAT,1580,,Public (non-charter),Yes,17,10,No,No,No,No,Other,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs",No,,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,CA,92127,,,Suburban,"Above $500,000",No,Computer Science,Student life / campus culture,Extremely interested,Very interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,Yes,Somewhat unfavorable,Strongly unfavorable,Somewhat unfavorable,3,No,,Somewhat agree,Other,A lot,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately Likely,Very likely,Very unlikely,Very unlikely,Very unlikely,Yes,No,No,3.97,"SAT,ACT",1550,35,Private (non-denominational),No,4,1,Yes,No,Yes,No,Protestant,Very religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs",Prefer not to say,,Neither
Trinity,Yes,White,Cis Woman,Gay/Homosexual/Lesbian,No,No,No,MD,20817,,,Suburban,"$125,000-$250,000",Yes,Political Science,"Duke’s ""brand name""",Not interested at all,Slightly interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,1,No,,Somewhat disagree,Clubs/Extracurriculars,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately unlikely,Moderately Likely,Moderately unlikely,Moderately unlikely,Very unlikely,Yes,Yes — furloughed,No,3.85,SAT,1540,,Public (non-charter),No,17,12,No,Yes,Yes,No,Agnostic,Not at all religious,Very liberal,Ineligible to vote,,,Ineligible to vote,"Drank alcohol,Used drugs,Had sex",Yes,Yes,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,MI,48085,,,Suburban,"$250,000-$500,000",No,Biology,Study abroad / away opportunities,Slightly interested,Very interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,Yes,1,Somewhat agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,3.9,"SAT,ACT",1590,36,Public (non-charter),No,5,5,Yes,No,Yes,No,Hindu,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),No,,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,TX,77005,,,Suburban,"$250,000-$500,000",No,Psychology,Academics and interdisciplinary curriculum,Very interested,Not interested at all,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat unfavorable,Somewhat unfavorable,Strongly favorable,2,No,,Somewhat agree,Dorm,A lot,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Neither likely or unlikely,Very likely,Very unlikely,Very unlikely,Very unlikely,Yes,No,No,4,ACT,,36,Private (non-denominational),No,10,1,Yes,No,Yes,Yes,Jewish,Not at all religious,Moderate,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Had sex,Obtained a fake ID",Yes,Yes,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,CT,06824,,,Suburban,"$250,000-$500,000",No,Computer Science,Academics and interdisciplinary curriculum,Not interested at all,Very interested,More likely,Wanting to belong in a social group,On campus,,,Unsure,No,,No,No,Somewhat favorable,No opinion,Strongly favorable,1,No,,Strongly disagree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Very likely,Moderately Likely,Very unlikely,Very unlikely,Moderately unlikely,No,No,No,3.9,SAT,1570,,Public (non-charter),Yes,10,4,Yes,No,Yes,No,Hindu,Religious,Moderate,Yes,Joe Biden,Durham,Yes,,No,,Online
